"Kontrat","GÖEM","GÝEM","GEEM","TOPLAM"
"GG20200415","1.939","235","788","2.962"
"GG20200416","898","1.094","348","2.340"
"GG20200417","2.026","12","596","2.634"
"GG20200418","1.532","301","171","2.004"
"GG20200419","1.869","160","352","2.381"
"GG20200420","2.580","145","461","3.186"
"GG20200421","1.764","560","916","3.240"
"GG20200422","1.512","115","614","2.241"
"GG20200423","746","852","550","2.148"
"GG20200424","1.806","596","348","2.750"
"GG20200425","4.285","265","848","5.398"
"GG20200426","1.972","360","598","2.930"
"GG20200427","4.464","374","1.476","6.314"
"GG20200428","4.695","150","152","4.997"
"GG20200429","2.596","946","631","4.173"
"GG20200430","5.076","850","81","6.007"
"GG20200501","2.949","323","346","3.618"
"GG20200502","3.596","251","598","4.445"
"GG20200503","2.225","275","391","2.891"
"GG20200504","3.561","464","722","4.747"
"GG20200505","4.049","0","327","4.376"
"GG20200506","3.358","63","269","3.690"
"GG20200507","1.641","0","641","2.282"
"GG20200508","3.712","590","322","4.624"
"GG20200509","1.997","289","169","2.455"
"GG20200510","2.732","391","115","3.238"
"GG20200511","2.362","203","104","2.669"
"GG20200512","2.909","450","456","3.815"
"GG20200513","2.654","1.066","251","3.971"
"GG20200514","2.990","179","562","3.731"
"GG20200515","2.955","514","834","4.303"
"GG20200516","2.873","743","402","4.018"
"GG20200517","3.805","1.052","194","5.051"
"GG20200518","4.776","1.120","344","6.240"
"GG20200519","3.736","779","163","4.678"
"GG20200520","4.709","1.570","339","6.618"
"GG20200521","4.024","305","151","4.480"
"GG20200522","1.894","450","76","2.420"
"GG20200523","1.647","0","43","1.690"
"GG20200524","1.336","200","47","1.583"
"GG20200525","1.356","177","609","2.142"
"GG20200526","712","571","961","2.244"
"GG20200527","1.990","740","613","3.343"
"GG20200528","2.159","434","129","2.722"
"GG20200529","3.183","395","152","3.730"
"GG20200530","2.096","165","232","2.493"
"GG20200531","2.495","821","128","3.444"
"GG20200601","6.476","1.315","217","8.008"
"GG20200602","5.562","1.733","748","8.043"
"GG20200603","5.835","1.950","645","8.430"
"GG20200604","7.567","1.150","153","8.870"
"GG20200605","5.904","570","342","6.816"
"GG20200606","5.526","1.050","271","6.847"
"GG20200607","2.914","215","552","3.681"
"GG20200608","5.581","2.290","377","8.248"
"GG20200609","8.515","895","349","9.759"
"GG20200610","9.191","100","464","9.755"
"GG20200611","7.079","130","48","7.257"
"GG20200612","5.612","116","351","6.079"
"GG20200613","1.753","850","212","2.815"
"GG20200614","2.405","90","322","2.817"
"GG20200615","5.957","906","268","7.131"
"GG20200616","9.846","1.136","225","11.207"
"GG20200617","12.445","300","157","12.902"
"GG20200618","11.774","311","225","12.310"
"GG20200619","12.213","125","75","12.413"
"GG20200620","2.866","116","72","3.054"
"GG20200621","1.465","440","168","2.073"
"GG20200622","5.219","1.416","161","6.796"
"GG20200623","8.214","763","158","9.135"
"GG20200624","8.143","1.075","152","9.370"
"GG20200625","7.042","860","174","8.076"
"GG20200626","7.854","575","228","8.657"
"GG20200627","6.527","1.108","237","7.872"
"GG20200628","4.520","1.500","214","6.234"
"GG20200629","4.268","990","129","5.387"
"GG20200630","8.976","1.070","81","10.127"
"GG20200701","4.155","2.375","516","7.046"
"GG20200702","5.856","360","289","6.505"
"GG20200703","5.189","402","328","5.919"
"GG20200704","2.661","800","403","3.864"
"GG20200705","2.778","476","677","3.931"
"GG20200706","2.671","1.242","230","4.143"
"GG20200707","2.617","915","637","4.169"
"GG20200708","3.490","190","317","3.997"
"GG20200709","1.926","336","463","2.725"
"GG20200710","1.612","426","1.224","3.262"
"GG20200711","1.702","839","494","3.035"
"GG20200712","1.603","475","135","2.213"
"GG20200713","2.186","537","346","3.069"
"GG20200714","3.639","655","803","5.097"
"GG20200715","4.042","1.335","630","6.007"
"GG20200716","3.195","675","263","4.133"
"GG20200717","6.591","150","536","7.277"
"GG20200718","3.191","225","901","4.317"
"GG20200719","2.242","681","238","3.161"
"GG20200720","2.360","410","396","3.166"
"GG20200721","6.139","511","460","7.110"
"GG20200722","4.080","375","209","4.664"
"GG20200723","7.579","100","541","8.220"
"GG20200724","1.929","1.845","304","4.078"
"GG20200725","5.350","103","459","5.912"
"GG20200726","2.288","510","496","3.294"
"GG20200727","11.520","616","265","12.401"
"GG20200728","17.766","2.306","469","20.541"
"GG20200729","18.330","1.239","580","20.149"
